created,creator,id,is_archived,is_channel,is_general,is_member,is_org_shared,is_shared,name,name_normalized,num_members,previous_names,purpose.creator,purpose.last_set,purpose.value,topic.creator,topic.last_set,topic.value
1482091522,U3GNC6NR5,C3G7H2NQK,False,True,False,False,False,False,city-nyc,city-nyc,168,[],U3GNC6NR5,1482091523,Discuss and collaborate on local nyc based data science projects,U3G504VL5,1495033521,D4D in NYC
1482092864,U3G45V5C5,C3GBV37QC,False,True,False,False,False,False,city-pdx,city-pdx,17,[],,0,,,0,
1494906664,U5ENCUB38,C5E1TQRFF,False,True,False,False,False,False,city-philadelphia,city-philadelphia,3,[],U5ENCUB38,1494906664,Channel for peeps in Philadelphia,,0,
1482101495,U3FMS7H9T,C3FJPQ77A,False,True,False,False,False,False,city-phoenix,city-phoenix,11,[],U3FMS7H9T,1482101496,"For folks in the Phoenix-Metro area (and any other Arizonans, too)",,0,
1485966910,U3YM4VDA4,C406R1ZAB,False,True,False,False,False,False,city-pittsburgh,city-pittsburgh,4,[],U3YM4VDA4,1485966911,steel city data nerds unite,,0,
1494981764,U4V8U27TQ,C5F6F7YJ2,False,True,False,False,False,False,city-portland-me,city-portland-me,2,[],U4V8U27TQ,1494981764,Portland ME,,0,
1483060673,U3K5QM5MX,C3LGLEQFQ,False,True,False,False,False,False,city-sanantonio,city-sanantonio,6,[],U3K5QM5MX,1483060673,For people in or interested in San Antonio.,,0,
1483067702,U3KSFHJPL,C3LHE0C4X,False,True,False,True,False,False,city-sandiego,city-sandiego,52,[],U3KSFHJPL,1483067702,Data Analysis of all things San Diego,,0,
1494432992,U55PP350C,C5AV1KTHP,False,True,False,False,False,False,city-sanfrancisco,city-sanfrancisco,8,[],U55PP350C,1494432993,Local collaboration,,0,
1482083885,U3FNRCTC3,C3FJGSHQ9,False,True,False,False,False,False,city-seattle,city-seattle,81,[],U3FNRCTC3,1482084434,Connect locally with Seattle data scientists to discuss local projects,,0,
1482092186,U3F3WU8SC,C3FJ5G96U,False,True,False,False,False,False,city-sf,city-sf,92,[],U3F3WU8SC,1482092186,Collaborate on San Francisco data projects,,0,
1487468645,U484Y5555,C47C0BZ6X,False,True,False,False,False,False,city-stl,city-stl,7,[],U484Y5555,1487468646,"Data projects in and about St. Louis, MO",,0,
1482091598,U3FPGK8F7,C3GC2JF61,False,True,False,False,False,False,city-syracuse,city-syracuse,4,[],U3FPGK8F7,1482091598,Gathering place for people who want to work on data projects in and around Central New York,,0,
1486170025,U3ZNUG2UR,C40SMCU03,True,True,False,False,False,False,collect-social,collect-social,0,[],,0,,,0,
1489422283,U3RJBT4SJ,C4HF75RPV,False,True,False,False,False,False,countermeme,countermeme,7,[],U3RJBT4SJ,1489422284,Discussion of the Countermeme project,,0,
1488821133,U4F0346EB,C4EBXDWA1,False,True,False,False,False,False,country_myanmar,country_myanmar,7,[],U4F0346EB,1488822363,Working in Myanmar? Headed to Myanmar? Interested in supporting data projects for Myanmar? Let’s connect!,,0,
1484179937,U3HQG6Z41,C3QAV98E7,False,True,False,False,False,False,country-australia,country-australia,18,[],U3HQG6Z41,1484179937,Discussions and meeting place for Australian Data Scientists,,0,
1484130724,U3PLUG8SY,C3QM4FVAB,False,True,False,False,False,False,country-canada,country-canada,23,[],,0,,,0,
1487020283,U44ASGR99,C44R85475,False,True,False,True,False,False,country-france,country-france,19,[],U44ASGR99,1487022079,"Anything related to France ! Non French speakers : you are of course welcome. If you are struggling with something (words in a dataset...) because of the language, feel free to ask for help !",U44ASGR99,1487022213,"France Presidential elections : 23rd April, 2017"
1486389473,U3ZE311QU,C40P3H97A,False,True,False,False,False,False,country-germany,country-germany,23,[],U3ZE311QU,1486389474,anything related to Germany; especially in light of the upcoming election,,0,
1482941581,U3JTT96JK,C3KAJ2H6X,False,True,False,False,False,False,country-india,country-india,12,[],U3JTT96JK,1482941582,"Work on projects that can uplift the standard of living in India - promote safety of women, reduction in coal usage, improve road conditions, etc",,0,
1484246479,U3QHXF9UL,C3RFHUUGP,False,True,False,False,False,False,country-netherlands,country-netherlands,9,[],,0,,,0,
1490905806,U4SBF0Z3N,C4T0ZEAQ6,False,True,False,False,False,False,country-romania,country-romania,0,[],,0,,,0,
1482093012,U3FPGN05B,C3G9L4G4A,False,True,False,False,False,False,country-sweden,country-sweden,5,[],U3FPGN05B,1482093013,Local data inititatives in or about Sweden,,0,
1487035064,U449D4WE5,C45M58HU7,False,True,False,False,False,False,country-turkey,country-turkey,6,[],U449D4WE5,1487035064,Discussion and meeting place of all things data for Turkey,,0,
1494488927,U5BQWJL4B,C5CN6DCG7,False,True,False,False,False,False,country-uk,country-uk,2,[],U5BQWJL4B,1494488928,Discussions for data people in the UK,,0,
1490974917,U46H8VC3H,C4SQ5ND9A,False,True,False,False,False,False,d4d-hackathon-boston,d4d-hackathon-boston,9,[],,0,,,0,
1485953730,U3GBWSKC6,C3YMKNPMF,False,True,False,True,False,False,d4d-labs,d4d-labs,115,[],U3GBWSKC6,1485953730,"Explore cutting edge methodologies that members of the d4d community are building (tools, algorithms, apps, you name it!)",U42EYPQ2F,1489522247,A Methodology Colloquium channel: https://www.youtube.com/channel/UC86eeR0OyCLvtyGBd4RJDNQ
1485399112,U39JB4RGR,C3XAX4X5M,False,True,False,True,False,False,d4d-website,d4d-website,36,[],U39JB4RGR,1485399112,Making the Data for Democracy public facing website!,U39JB4RGR,1485399129,https://github.com/Data4Democracy/datafordemocracy.org
1485270152,U3GN145D4,C3V1NPRSM,False,True,False,True,False,False,data-dot-gov-archive,data-dot-gov-archive,84,[],U3GN145D4,1485270152,Copying federal datasets off of data.gov in case they disappear.,,0,
1490997828,U3U74LX89,C4TLFKLFR,False,True,False,False,False,False,dc-city,dc-city,1,[],,0,,,0,
1485996175,U3ZL3C7QU,C3ZPTFNH0,False,True,False,False,False,False,dev-ops,dev-ops,26,[],,0,,,0,
1484602272,U3GN0MBKQ,C3SABFRK7,False,True,False,False,False,False,discursive-commdetect,discursive-commdetect,58,[],U3GN0MBKQ,1484602273,Community detection,,0,
1494517784,U3GCLA9BR,C5BJ5TMMF,False,True,False,False,False,False,disinfo-campaigns,disinfo-campaigns,21,['disinfo-campigns'],U3GCLA9BR,1494517784,Research disinformation campaigns &amp; narrative hacking taking place in upcoming European elections,,0,
